"CloneClassID","SiblingCount","Avg_CloneLineCount","Diff_CloneLineCount","Avg_TokenCount","Diff_TokenCount","CloneType","Avg_DirectoryDistance","Max_DirectoryDistance","Avg_EditDistance","Max_EditDistance","Avg_LineCount","Diff_LineCount","Avg_LineCodeCount","Diff_LineCodeCount","Avg_LineCodeDeclCount","Diff_LineCodeDeclCount","Avg_LineCodeExeCount","Diff_LineCodeExeCount","Avg_StmtCount","Diff_StmtCount","Avg_StmtDeclCount","Diff_StmtDeclCount","Avg_StmtExeCount","Diff_StmtExeCount","Avg_RatioLineCount","Diff_RatioLineCount","Avg_RatioLineCodeCount","Diff_RatioLineCodeCount","Avg_RatioLineCodeDeclCount","Diff_RatioLineCodeDeclCount","Avg_RatioLineCodeExeCount","Diff_RatioLineCodeExeCount","Avg_RatioStmtCount","Diff_RatioStmtCount","Avg_RatioStmtDeclCount","Diff_RatioStmtDeclCount","Avg_RatioStmtExeCount","Diff_RatioStmtExeCount","Avg_FanOut","Diff_FanOut","Avg_FanIn","Diff_FanIn","Avg_Cyclomatic","Diff_Cyclomatic","Avg_CyclomaticModified","Diff_CyclomaticModified","Avg_CyclomaticStrict","Diff_CyclomaticStrict","Avg_Essential","Diff_Essential","Avg_MaxNesting","Diff_MaxNesting","Avg_CountLineComment","Diff_CountLineComment","Avg_RatioCommentToCode","Diff_RatioCommentToCode","Avg_Churn","Diff_Churn","Avg_LineAdded","Diff_LineAdded","Avg_LineDeleted","Diff_LineDeleted","Avg_CommitCount","Diff_CommitCount","Avg_DeveloperCount","Diff_DeveloperCount","Avg_MajorDeveloperCount","Diff_MajorDeveloperCount","Avg_FixCommitCount","Diff_FixCommitCount","Avg_NewFeatureCommitCount","Diff_NewFeatureCommitCount","Avg_ImproveCommitCount","Diff_ImproveCommitCount"
33,1,16,0,140,0,"Type_1",0,0,0,0,52,68,42.5,55,2,0,39.5,55,34.5,47,3,0,31.5,47,3.25,4.25,3.25,4.25,0.125,0,2.46875,3.4375,2.15625,2.9375,0.125,0,1.96875,2.9375,5.5,7,4,4,1,0,1,0,1,0,1,0,0,0,3.5,5,0.08,0.02,46.5,61,43,54,3.5,7,2,2,1.5,1,1.5,1,0,0,1,2,1,0
35,2,19,0,110,0,"Type_1",0,0,2,6,51,28,39.6666666666667,19,14,0,32.3333333333333,14,25.6666666666667,13,10,0,15.6666666666667,13,2.68421052631579,1.47368421052632,2.68421052631579,1.47368421052632,0.736842105263158,0,1.70175438596491,0.736842105263158,1.35087719298246,0.684210526315789,0.736842105263158,0,0.824561403508772,0.684210526315789,29.3333333333333,2,5,2,3,5,3,5,3.66666666666667,7,1,0,0.666666666666667,1,4.66666666666667,6,0.11,0.1,33.6666666666667,16,31,17,2.66666666666667,1,3.66666666666667,1,1,0,1,0,2,2,0.333333333333333,1,1.33333333333333,1
38,4,17.4,1,102,0,"Type_1",0,0,11.5,115,57.4,28,37.2,17,13.6,12,35.2,17,35,23,13.6,12,21.4,11,3.29411764705882,1.64705882352941,3.29411764705882,1.64705882352941,0.779084967320261,0.705882352941176,2.02091503267974,1,2.0078431372549,1.35294117647059,0.779084967320261,0.705882352941176,1.22875816993464,0.647058823529412,27,13,0.6,3,1,0,1,0,1,0,1,0,0,0,7,3,0.19,0.04,40.8,29,38.4,26,2.4,3,2.6,2,1.8,1,1.8,1,1,0,0,0,1.6,2
41,1,37.5,1,219,0,"Type_1",0,0,19,19,77,2,70.5,3,20,0,58.5,3,58.5,3,20,0,38.5,3,2.05405405405405,0.108108108108108,2.05405405405405,0.108108108108108,0.533428165007112,0.0142247510668564,1.56081081081081,0.121621621621622,1.56081081081081,0.121621621621622,0.533428165007112,0.0142247510668564,1.0273826458037,0.107396870554765,31.5,7,4.5,1,9,0,9,0,9,0,6,0,5,0,3,0,0.04,0,79.5,3,76.5,3,3,0,3,0,2,0,2,0,2,0,1,0,0,0
42,1,15,0,108,0,"Type_1",0,0,17,17,77,2,70.5,3,20,0,58.5,3,58.5,3,20,0,38.5,3,5.13333333333333,0.133333333333334,5.13333333333333,0.133333333333334,1.33333333333333,0,3.9,0.2,3.9,0.2,1.33333333333333,0,2.56666666666667,0.2,31.5,7,4.5,1,9,0,9,0,9,0,6,0,5,0,3,0,0.04,0,79.5,3,76.5,3,3,0,3,0,2,0,2,0,2,0,1,0,0,0
44,3,16.25,1,111,0,"Type_1",0,0,10.33,62,39.25,1,27.5,1,10,0,25.5,1,26,0,10,0,16,0,2.41636029411765,0.0845588235294117,2.41636029411765,0.0845588235294117,0.615808823529412,0.0367647058823529,1.56985294117647,0.0955882352941178,1.60110294117647,0.0955882352941178,0.615808823529412,0.0367647058823529,0.985294117647059,0.0588235294117647,20.75,1,0,0,1,0,1,0,1,0,1,0,0,0,3,0,0.11,0,6,0,3,0,3,0,2,0,1,0,1,0,1,0,0,0,1,0
48,1,15.5,1,106,0,"Type_1",0,0,62,62,65,0,46,0,5,0,43,0,43,0,5,0,38,0,4.19791666666667,0.270833333333333,4.19791666666667,0.270833333333333,0.322916666666667,0.0208333333333333,2.77708333333333,0.179166666666667,2.77708333333333,0.179166666666667,0.322916666666667,0.0208333333333333,2.45416666666667,0.158333333333333,12,0,2,0,2,0,2,0,2,0,1,0,1,0,5,0,0.11,0,51,0,49,0,2,0,2,0,1,0,1,0,1,0,0,0,1,0
50,1,36.5,1,201,0,"Type_1",0,0,37,37,43,0,38.5,1,9.5,1,33,0,29,0,9.5,1,19.5,1,1.1783033033033,0.0322822822822824,1.1783033033033,0.0322822822822824,0.260135135135135,0.0202702702702703,0.904279279279279,0.0247747747747747,0.79466966966967,0.0217717717717718,0.260135135135135,0.0202702702702703,0.534534534534534,0.0420420420420421,21,0,1.5,1,6.5,1,6.5,1,6.5,1,1,0,2,0,2,0,0.05,0,44,26,37,26,7,0,4,0,2,0,2,0,2,0,1,0,1,0
54,1,20,0,107,0,"Type_1",0,0,24,24,63.5,41,53,34,11,4,47.5,33,31.5,21,8,2,23.5,19,3.175,2.05,3.175,2.05,0.55,0.2,2.375,1.65,1.575,1.05,0.55,0.2,1.175,0.95,28,8,1.5,1,2,0,2,0,3,0,1,0,1,0,10,4,0.195,0.05,54,32,46,28,8,4,7.5,1,2,0,2,0,5.5,1,0,0,2,0
58,1,16,0,103,0,"Type_1",2,2,0,0,19,0,16,0,3,0,10,0,12,0,4,0,8,0,1.1875,0,1.1875,0,0.1875,0,0.625,0,0.75,0,0.1875,0,0.5,0,8,0,5,0,5,0,5,0,5,0,1,0,3,0,3,0,0.19,0,17,0,17,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
